Fecha,Zona,Valor
2026-03-23 10:00:00+00:00,Alemania,192.33
2026-03-23 11:00:00+00:00,Alemania,197.02
2026-03-23 11:00:00+00:00,Bélgica,177.55
2026-03-23 11:00:00+00:00,España,-0.08
2026-03-23 11:00:00+00:00,Francia,67.98
2026-03-23 11:00:00+00:00,Países Bajos,186.82
2026-03-23 11:00:00+00:00,Portugal,-0.08
2026-03-23 12:00:00+00:00,Francia,1.05
2026-03-23 12:00:00+00:00,Alemania,299.5
2026-03-23 12:00:00+00:00,Bélgica,240.78
2026-03-23 12:00:00+00:00,España,-0.04
2026-03-23 12:00:00+00:00,Países Bajos,265.47
2026-03-23 12:00:00+00:00,Portugal,-0.04
2026-03-23 13:00:00+00:00,Portugal,-0.01
2026-03-23 13:00:00+00:00,Países Bajos,341.64
2026-03-23 13:00:00+00:00,Francia,54.44
2026-03-23 13:00:00+00:00,Alemania,379.92
2026-03-23 13:00:00+00:00,Bélgica,299.37
2026-03-23 13:00:00+00:00,España,-0.01
2026-03-23 14:00:00+00:00,Países Bajos,408.0
2026-03-23 14:00:00+00:00,Francia,48.51
2026-03-23 14:00:00+00:00,Portugal,0.0
2026-03-23 14:00:00+00:00,Bélgica,336.81
2026-03-23 14:00:00+00:00,Alemania,457.81
2026-03-23 14:00:00+00:00,España,0.0
2026-03-23 15:00:00+00:00,Portugal,2.19
2026-03-23 15:00:00+00:00,Países Bajos,493.84
2026-03-23 15:00:00+00:00,Francia,125.66
2026-03-23 15:00:00+00:00,Alemania,554.17
2026-03-23 15:00:00+00:00,Bélgica,427.58
2026-03-23 15:00:00+00:00,España,2.19
2026-03-23 16:00:00+00:00,Alemania,763.1
2026-03-23 16:00:00+00:00,Bélgica,626.08
2026-03-23 16:00:00+00:00,España,41.57
2026-03-23 16:00:00+00:00,Francia,299.16
2026-03-23 16:00:00+00:00,Países Bajos,691.59
2026-03-23 16:00:00+00:00,Portugal,41.57
2026-03-23 17:00:00+00:00,Portugal,154.01
2026-03-23 17:00:00+00:00,Países Bajos,998.0
